i1,j1,m,a,b,p0,p1,perr1,perr2
0,0,trf,2.4998495480492107,-1.3819398657490665,0.0,0.0,0.14417053546216757,0.03152494342703665
1,1,trf,1.2148864808677093,-0.516514406423591,0.0,0.010101010101010102,0.5565759537465202,0.10851499925123544
2,2,trf,1.2148274415536064,-0.5164104656822688,0.0,0.020202020202020204,0.5565945177711527,0.10852937786875294
3,3,trf,1.2148831135190081,-0.5165084669173661,0.0,0.030303030303030304,0.5565770140249727,0.10851581907786849
4,4,trf,1.2148909990581258,-0.5165224041244914,0.0,0.04040404040404041,0.5565745366601221,0.10851389742631236
5,5,trf,1.2148262016599691,-0.5164082579015543,0.0,0.05050505050505051,0.5565949086330442,0.10852968224778779
6,6,trf,1.2148377520357296,-0.5164284949988449,0.0,0.06060606060606061,0.556591263038407,0.10852687316396448
7,7,trf,1.2148798856132776,-0.516502713165991,0.0,0.07070707070707072,0.5565780210384474,0.10851660962244121
8,8,trf,1.2148744456448464,-0.5164930177201734,0.0,0.08080808080808081,0.5565797143875868,0.108517942166646
9,9,trf,1.2148597070890927,-0.5164670894383736,0.0,0.09090909090909091,0.556584350867579,0.10852152833275462
10,10,trf,1.2148829517473452,-0.5165081392572146,0.0,0.10101010101010102,0.5565770547430511,0.10851586159785506
11,11,trf,1.2148919789328974,-0.5165241160105344,0.0,0.11111111111111112,0.556574226206014,0.10851366011407075
12,12,trf,1.2148391844717874,-0.5164310081833162,0.0,0.12121212121212122,0.5565908133861178,0.1085265246117422
13,13,trf,1.2148874591154988,-0.5165161149057294,0.0,0.13131313131313133,0.5565756483240791,0.10851476240560316
14,14,trf,1.2148735791106193,-0.5164915752712148,0.0,0.14141414141414144,0.5565799982234331,0.10851814658147492
15,15,trf,1.2148820270187954,-0.516506527343451,0.0,0.15151515151515152,0.5565773506083374,0.10851608525767349
16,16,trf,1.214879079138985,-0.5165013290616942,0.0,0.16161616161616163,0.5565782763962204,0.10851680289002769
17,17,trf,1.2148357643389736,-0.5164251019494236,0.0,0.17171717171717174,0.5565919023692475,0.10852734961255572
18,18,trf,1.2148744967680334,-0.5164932066481943,0.0,0.18181818181818182,0.5565797124507885,0.10851792206597555
19,19,trf,1.2148929090564864,-0.5165257157608144,0.0,0.19191919191919193,0.5565739308181317,0.10851343683469838
20,20,trf,1.214879325162728,-0.5165017429625857,0.0,0.20202020202020204,0.556578194858595,0.10851674457138981
21,21,trf,1.2148838953404362,-0.5165098464508292,0.0,0.21212121212121213,0.5565767661369743,0.10851562861817753
22,22,trf,1.2148372611227998,-0.516427632072805,0.0,0.22222222222222224,0.5565914209317804,0.10852699272256112
23,23,trf,1.2148274594394077,-0.5164104975990407,0.0,0.23232323232323235,0.5565945142602408,0.10852937351302065
24,24,trf,1.2148425318410172,-0.5164368741838293,0.0,0.24242424242424243,0.5565897582155862,0.10852571078590255
25,25,trf,1.2148238724719693,-0.5164042183071289,0.0,0.25252525252525254,0.5565956446701913,0.10853024576442524
26,26,trf,1.2148836433962027,-0.5165092966265045,0.0,0.26262626262626265,0.5565768298582079,0.10851569802736162
27,27,trf,1.2148201608980338,-0.5163978066882939,0.0,0.27272727272727276,0.5565968272507634,0.10853114178614026
28,28,trf,1.2148221759640716,-0.5164012488880505,0.0,0.2828282828282829,0.5565961821165519,0.10853065829492839
29,29,trf,1.214873843478011,-0.5164921243011681,0.0,0.29292929292929293,0.5565799245811373,0.10851807590605529
30,30,trf,1.2148900630001656,-0.5165208173653497,0.0,0.30303030303030304,0.5565748371506516,0.1085141201678942
31,31,trf,1.2148878500427098,-0.5165168385287071,0.0,0.31313131313131315,0.5565755248478702,0.10851466457188921
32,32,trf,2.499829549103999,-1.381892224704068,0.0,0.32323232323232326,0.1441710487283011,0.03152684706587786
33,33,trf,2.499853327753562,-1.3819489105316787,0.0,0.33333333333333337,0.1441704407095704,0.031524582686065346
34,34,trf,2.499831144866703,-1.381896010771395,0.0,0.3434343434343435,0.14417100696087712,0.03152669555318062
35,35,trf,1.2148735663681496,-0.5164915665899741,0.0,0.3535353535353536,0.5565800042799862,0.10851814863366925
36,36,trf,1.2148876176332541,-0.5165164236984617,0.0,0.36363636363636365,0.556575598467243,0.10851472148972725
37,37,trf,1.214827361443359,-0.5164103815763416,0.0,0.37373737373737376,0.5565945495088429,0.10852939300823333
38,38,trf,1.214830021478455,-0.5164150253178965,0.0,0.38383838383838387,0.5565937135908784,0.10852874716839483
39,39,trf,1.2148845192919728,-0.5165109075499058,0.0,0.393939393939394,0.5565765639395432,0.10851547974526647
40,40,trf,1.2148268070535302,-0.5164093488749287,0.0,0.4040404040404041,0.5565947197693353,0.10852953265176819
41,41,trf,1.214842395092626,-0.5164366971376027,0.0,0.4141414141414142,0.5565898064605874,0.10852573909266877
42,42,trf,1.2148363165239586,-0.5164259922844343,0.0,0.42424242424242425,0.5565917190163618,0.10852722125432494
43,43,trf,1.21487461276853,-0.5164933523487368,0.0,0.43434343434343436,0.5565796653808405,0.10851789833002982
44,44,trf,1.2148410629002708,-0.516434331770156,0.0,0.4444444444444445,0.5565902252305953,0.10852606545295147
45,45,trf,1.2148300801481984,-0.5164150529286111,0.0,0.4545454545454546,0.5565936842669286,0.10852873877173273
46,46,trf,2.4998305235735185,-1.3818945396184457,0.0,0.4646464646464647,0.14417102367450305,0.03152675445402584
47,47,trf,2.4998518680602526,-1.381945418433056,0.0,0.4747474747474748,0.14417047725817328,0.03152472197904997
48,48,trf,2.4998488095415565,-1.381938096694748,0.0,0.48484848484848486,0.14417055357331537,0.031525013965762794
49,49,trf,-7.514462188690842,0.8610319461353321,0.0,0.494949494949495,3266.5008074705856,834.7649912245014
50,50,trf,3.4999963315291494,2.0000014994934676,0.0,0.5050505050505051,7.266172328594899e-06,1.6167787802584385e-06
51,51,trf,1.2148263256501255,-0.5164085836543635,0.0,0.5151515151515152,0.5565948824707078,0.10852964363361448
52,52,trf,1.214823940928562,-0.5164043488124345,0.0,0.5252525252525253,0.5565956247736846,0.10853022816536981
53,53,trf,-7.50935447893202,0.8600459314645446,0.0,0.5353535353535354,3247.677098769248,831.9411282542475
54,54,trf,-7.501850553278357,0.8598101509677576,0.0,0.5454545454545455,3222.8744059824717,826.0612332772191
55,55,trf,-7.513710353277172,0.8595850093668898,0.0,0.5555555555555556,3260.823327409575,836.2427419006393
56,56,trf,3.4999963315291693,2.000001499493434,0.0,0.5656565656565657,7.266172328091185e-06,1.6167787802666824e-06
57,57,trf,3.499996331529134,2.00000149949349,0.0,0.5757575757575758,7.26617232697523e-06,1.6167787810773397e-06
58,58,trf,-7.507374145959282,0.8589339829064129,0.0,0.5858585858585859,3238.770224814683,831.9112243968666
59,59,trf,-7.502803637992666,0.8587148179448095,0.0,0.595959595959596,3223.5195781964476,828.4378737049894
60,60,trf,-7.517228917528121,0.8585011630675592,0.0,0.6060606060606061,3269.8706461390952,840.78245489445
61,61,trf,3.499996331529145,2.0000014994934734,0.0,0.6161616161616162,7.2661723286688574e-06,1.6167787802867385e-06
62,62,trf,-7.511774304810743,0.8580878082606763,0.0,0.6262626262626263,3251.172836274724,836.8081550888234
63,63,trf,-7.5037841030934125,0.8578734177112957,0.0,0.6363636363636365,3224.8268044375095,830.4614895191054
64,64,trf,-7.503700099017595,0.8576727354286073,0.0,0.6464646464646465,3224.1052967243468,830.6756312288779
65,65,trf,-7.491670263141645,0.8574622788167624,0.0,0.6565656565656566,3185.0834718977367,821.0514638580652
66,66,trf,-7.501812094490838,0.8572714036388692,0.0,0.6666666666666667,3217.141582328978,829.697279550251
67,67,trf,-7.492611772896225,0.8570611349730982,0.0,0.6767676767676768,3187.218994399359,822.3895663788209
68,68,trf,-7.506796403949452,0.8568746705249233,0.0,0.686868686868687,3232.3265501736755,834.4129694826569
69,69,trf,-7.4887754192015334,0.8566683831433285,0.0,0.696969696969697,3174.1501262903935,819.8025149006982
70,70,trf,-7.499532024878121,0.8564784034592614,0.0,0.7070707070707072,3208.063869715205,828.9448589691962
71,71,trf,-7.494989659260273,0.8562792016900325,0.0,0.7171717171717172,3193.086916556544,825.4707015491335
72,72,trf,-7.49205695797465,0.8560842735567983,0.0,0.7272727272727273,3183.3168720314056,823.3335707275189
73,73,trf,-7.481222180613955,0.8558848392486724,0.0,0.7373737373737375,3148.5813138976664,814.746703961795
74,74,trf,-7.481846979785577,0.8556929230129453,0.0,0.7474747474747475,3150.140718262493,815.5218011926308
75,75,trf,-7.478391124387059,0.8555079946096021,0.0,0.7575757575757577,3138.8642903377117,812.970797812988
76,76,trf,-7.43259136969242,0.8633201458642262,0.0,0.7676767676767677,3014.440680550813,766.0651146762259
77,77,trf,-7.414048835048539,0.8632793672235475,0.0,0.7777777777777778,2958.9749046137254,752.0494917376473
78,78,trf,-7.445530454701208,0.863249154406202,0.0,0.787878787878788,3053.540482618425,776.1429231755546
79,79,trf,-7.446858627464986,0.8594891350224099,0.0,0.797979797979798,3049.7535815935485,782.2995228403511
80,80,trf,-7.479913219791375,0.8592903474562612,0.0,0.8080808080808082,3151.814630256809,808.8743435860532
81,81,trf,-7.48006337814739,0.8685879704813413,0.0,0.8181818181818182,3172.2942606638244,795.9251415064846
82,82,trf,-7.4833539386959655,0.8632873999904387,0.0,0.8282828282828284,3171.329819439876,806.0135356625563
83,83,trf,-7.518276414468555,0.8686860282147143,0.0,0.8383838383838385,3296.0762307233463,826.7856892780522
84,84,trf,1.2148325699143305,-0.5164194158713955,0.0,0.8484848484848485,0.5565929017880802,0.10852813322411177
85,85,trf,-7.550931315222573,0.8688211287424176,0.0,0.8585858585858587,3405.8026246615814,854.0253008157797
86,86,trf,-7.5136403815314665,0.8628247886221837,0.0,0.8686868686868687,3267.817467015011,831.4705635869036
87,87,trf,-7.556320894386106,0.8690025933945291,0.0,0.8787878787878789,3424.63429792717,858.3696150078749
88,88,trf,-7.539625865854055,0.8625437488758478,0.0,0.888888888888889,3353.205618488275,853.7711944807671
89,89,trf,-7.527270737369684,0.8624349502389816,0.0,0.8989898989898991,3311.7826280810036,843.4464458859784
90,90,trf,-7.501896152155022,0.8621304020785164,0.0,0.9090909090909092,3228.1325025201318,822.7587965529418
91,91,trf,-7.503715012448316,0.861971816096414,0.0,0.9191919191919192,3233.6578364383668,824.4847399480842
92,92,trf,-7.511088612132602,0.8699091725391417,0.0,0.9292929292929294,3275.1624341232964,819.109662151937
93,93,trf,-7.501972326796914,0.8616866990019113,0.0,0.9393939393939394,3227.39789570965,823.4581980538596
94,94,trf,1.214889583952686,-0.5165198817571017,0.0,0.9494949494949496,0.5565749756519953,0.10851424369360013
95,95,trf,2.4998516557331003,-1.381944908752621,0.0,0.9595959595959597,0.14417048229173388,0.031524742291282014
96,96,trf,2.499829022311733,-1.3818909755569222,0.0,0.9696969696969697,0.14417106298413604,0.03152689707033333
97,97,trf,2.4998287095859864,-1.381890234884692,0.0,0.9797979797979799,0.14417107094776288,0.031526926727644386
98,98,trf,2.4998309889422807,-1.3818956444894575,0.0,0.98989898989899,0.14417101123094292,0.03152671024241015
99,99,trf,2.765309849865578,-2.651678418467786,0.0,1.0,0.10404083031376558,0.024154911692535353
100,100,trf,1.2148894269988721,-0.5165196426565094,0.010101010101010102,0.0,0.556575030796781,0.10851427905761114
101,101,trf,1.2148233032719429,-0.5164032907030719,0.010101010101010102,0.010101010101010102,0.5565958389410226,0.10853037873250701
102,102,trf,1.2148264468360919,-0.5164086935780401,0.010101010101010102,0.020202020202020204,0.5565948288642913,0.10852962204535432
103,103,trf,1.2148737245527461,-0.516491874688761,0.010101010101010102,0.030303030303030304,0.5565799542754395,0.10851810806037153
104,104,trf,1.2148311376676661,-0.5164170075659695,0.010101010101010102,0.04040404040404041,0.5565933620488561,0.10852847359795227
105,105,trf,1.2148370850869752,-0.5164273249734588,0.010101010101010102,0.05050505050505051,0.5565914748296257,0.10852703536521724
106,106,trf,1.2148407315594396,-0.51643382598485,0.010101010101010102,0.06060606060606061,0.5565903389210034,0.10852614023074293
107,107,trf,1.2148382506362072,-0.5164294728031497,0.010101010101010102,0.07070707070707072,0.5565911206880017,0.10852674386302097
